Name,Target Area,Target Muscle,Exercise Category,Difficulty,Push Pull Stretch Aerobic,"Equipment Type( gym, home , specific )",Location,Url
"Back Squat
",Lower Body,Quadriceps,Strength ,Beginner ,Push,"bodyweight , barbell, kettlebell , dumbell",Gym,
Front Squat,Lower Body,Quadriceps,Strength ,Intermediate ,Push,"bodyweight , barbell, kettlebell , dumbell",Gym,
Pause Squat,Lower Body,Quadriceps,Strength ,Intermediate,Push,"bodyweight , barbell , kettlebell ,dumbell",Gym,
Zercher Squat,Lower Body,Quadriceps,Strength ,Advanced,Push,"bodyweight , barbell, kettlebell , dumbell",Gym,
Split Squats,Lower Body,Quadriceps,Strength ,Advanced,Push,"bodyweight , barbell, kettlebell , dumbell",Gym,
Romanian Deadlift,Lower Body,Hamstrings,Strength ,Intermediate,Push,"bodyweight , barbell, kettlebell , dumbell",Gym,
Goblet Squat,Lower Body,Glutes,Strength ,Beginner ,Push,"bodyweight , barbell, kettlebell , dumbell",Gym,
Leg Press,Lower Body,Quadriceps,Strength ,Beginner ,Push,machine,Gym,
Deadlift,Full Body,Lower Back,Strength,Intermediate,Pull,"barbell, kettlebell, dumbell ",Gym,
Cable Pull Through,Full Body,Lower Back,Strength,Beginner ,Pull,machine,Gym,
Sumo Deadlifts,Full Body,Lower Back,Strength,Beginner ,Pull,barbell,Gym,
Trap Bar Deadlift,Full Body,Lower Back,Strength,Beginner ,Pull,trap bar,Gym,
Kettle Bell Swings,Full Body,Hamstrings,Strength,Intermediate,Pull,kettlebell,Gym,
Barbell Row,Upper Body,Upper Back,Strength ,Intermediate,Pull,barbell,Gym,
Pull-ups,Full Body,Upper Back,Strength ,Intermediate,Pull,"bar, machine",Gym,
Chin-ups,Full Body,Upper Back,Strength ,Intermediate,Pull,"bar, machine",Gym,
Face Pulls,Upper Body,Shoulders,Strength ,Beginner ,Pull,machine,Gym,
T-bar Rows ,Upper Body,Upper Back,Strength ,Intermediate,Pull,barbell,Gym,
Lat Pulldown,Upper Body,Upper Back,Strength ,Intermediate,Pull,machine,Gym,
Bent Over Row,Upper Body,Upper Back,Strength ,Beginner ,Pull,"barbell, kettlebell , dumbell",Gym,
Bench Press ,Upper Body,Chest,Strength ,Beginner ,Push,"barbell , dumbell",Gym,
Incline Bench Press,Upper Body,Chest,Strength ,Beginner ,Push,"barbell , dumbell",Gym,
Overhead Press,Upper Body,Shoulder,Strength ,Beginner ,Push,"barbell , dumbell, kettlebell",Gym,
Push-ups,Upper Body,Chest,Strength ,Beginner ,Push,bodyweight,Both,
Dips,Core,Chest,Strength ,Beginner ,Push,"bodweight, machine, dumbell",Both,
Ab Wheel Rollouts,Core,Abdominals ,Strength ,Beginner ,Push,ab-wheel,Special,
Leg Raises,Core,Abdominals ,Strength ,Beginner ,Pull,bodweight,Both,
Bicep Curl,Upper Body,Bicep,Strength ,Beginner ,Pull,"barbell, kettlebell , dumbell",Gym,
Walking,Full Body,Lungs,Aerobic,Beginner ,Aerobic,"machine, none",Both,
Jogging,Full Body,Lungs,Aerobic,Beginner ,Aerobic,"machine, none",Both,
Running,Full Body,Lungs,Aerobic,Beginner ,Aerobic,"machine, none",Both,
Sprinting ,Full Body,Lungs,Aerobic,Beginner ,Aerobic,"machine, none",Both,
Swimming,Full Body,Lungs,Aerobic,Beginner ,Aerobic,pool,Special,
Biking,Full Body,Lungs,Aerobic,Beginner ,Aerobic,bike,Special,
Stairmaster,Full Body,Lungs,Aerobic,Beginner ,Aerobic,machine,Gym,
Jump Rope,Full Body,Lungs,Aerobic,Beginner ,Aerobic,jump rope,Both,
Rowing,Full Body,Lungs,Aerobic,Beginner ,Pull,machine,Gym,
Knees to Chest,Lower Body,Hamstrings,Flexibility ,Beginner,Stretch,bodyweight,Both,
Standing Quad Stretch,Lower Body,Quadriceps,Flexibility ,Beginner,Stretch,bodyweight,Both,
Forward Lunge,Lower Body,Quadriceps,Flexibility ,Beginner,Stretch,bodyweight,Both,
"Side Lunge
",Lower Body,Hamstrings,Flexibility ,Beginner,Stretch,bodyweight,Both,
Cross-Over,Lower Body,Hamstrings,Flexibility ,Beginner,Stretch,bodyweight,Both,
Seat Straddle Lotus,Lower Body,Hamstrings,Flexibility ,Beginner,Stretch,bodyweight,Both,
Piriformis Stretch,Lower Body,Glutes,Flexibility ,Beginner,Stretch,bodyweight,Both,
Figure Four Stretch,Lower Body,Glutes,Flexibility ,Beginner,Stretch,bodyweight,Both,
Tricep Stretch,Upper Body,Tricep,Flexibility ,Beginner,Stretch,bodyweight,Both,
Frog Stretch,Lower Body,Hamstrings,Flexibility ,Beginner,Stretch,bodyweight,Both,
Butterfly Stretch,Lower Body,Hamstrings,Flexibility ,Beginner,Stretch,bodyweight,Both,
Side Bend Stretch,Lower Body,Abdominals ,Flexibility ,Beginner,Stretch,bodyweight,Both,
Pectoral Stretch,Upper Body,Chest,Flexibility ,Beginner,Stretch,bodyweight,Both,
Lying Quad Stretch,Lower Body,Quadriceps,Flexibility ,Beginner,Stretch,bodyweight,Both,
Pigeon Pose ,Lower Body,Glutes,Flexibility ,Beginner,Stretch,bodyweight,Both,
Pretzel Stretch,Lower Body,Glutes,Flexibility ,Beginner,Stretch,bodyweight,Both,
Downward Dog,Full Body,Lower Back,Flexibility ,Beginner,Stretch,bodyweight,Both,
Cat Cow,Full Body,Lower Back,Flexibility ,Beginner,Stretch,bodyweight,Both,
Plank,Full Body,Abdominals ,Strength ,Beginner,Stretch,bodyweight,Both,
Side Plank,Full Body,Abdominals ,Strength ,Intermediate,Stretch,bodyweight,Both,
Elephant Walk,Lower Body,Quadriceps,Flexibility ,Beginner ,Stretch,bodyweight,Both,
Bird Dog,Upper Body,Upper Back,Flexibility ,Intermediate,Stretch,bodyweight,Both,
Chest Fly,Upper Body,Chest,Strength,Advanced,Pull,,Both,
Suitcase Carry,Upper Body,Bicep,Strength,Advanced,Push,,Both,
Shrugs,Upper Body,Upper Back,Strength,Advanced,Pull,,Gym,
Waiter Carry,Upper Body,Shoulders,Strength,Advanced,Push,,Both,
Bottom Ups,Upper Body,Shoulders,Strength,Advanced,Push,,Both,
Bulgarian Split Squat,Lower Body,Quadriceps,Strength,Advanced,Pull,,Both,
Clean and Press,Upper Body,Shoulders,Strength,Advanced,Push,,Gym,
Turkish Getup,Full Body,Shoulders,Strength,Advanced,Push,,Gym,
Wood-Chop,Upper Body,Shoulders,Strength,Advanced,Pull,,Gym,
Power Clean,Upper Body,Upper Back,Strength,Advanced,Pull,,Gym,
Push-Press,Upper Body,Upper Back,Strength,Advanced,Push,,Gym,
Overhead Squat,Full Body,Quadriceps,Strength,Advanced,Push,,Gym,
Snatch,Full Body,Bicep,Strength,Advanced,Push,,Gym,
Farmers Carry,Full Body,Bicep,Strength,Advanced,Push,,Gym,
Jefferson Curl,Full Body,Upper Back,Strength,Advanced,Pull,,Gym,
Sled Push,Full Body,Quadriceps,Strength,Advanced,Push,,Gym,
Sled Pull,Full Body,Quadriceps,Strength,Advanced,Pull,,Gym,